Fake_Id,Designation,Recruitment_Type,Account_code,Avg_In_Tim,Avg_Out_Tim,Avg_Office_hr,Avg_Bay_hr,Avg_Break_hr,Avg_Cafeteria,Avg_OOO_hr,Unbilled,Half_Day,Full_Day,Online_Checkin,Exemptions,Unallocated,avg_in_time_hr,avg_office_hours,avg_break_hours,avg_ooo_hours,total_leaves,unbilled_flag,unallocated_flag,bay_hours,cafeteria_hours,efficiency,break_utilization,punctuality,absenteeism_days,burnout_hours,Cluster,Behavior_Type,Name
879,TDS,Campus-2022,Walmart,13:15:00,0:11:38,10:55:10,9:45:28,1:09:42,0:38:05,0:31:36,Unbilled,0,16,0,31,No,13.25,10.916666666666666,1.15,0.5166666666666667,16,1,0,9.75,0.6333333333333333,89.31297709923665,0.1053435114503816,4.25,16,1.916666666666666,2,Erratic / At-Risk,Allen Salazar
13,TDS,Campus-2022,Novartis,12:07:06,22:40:46,10:33:29,9:43:40,0:49:48,0:14:26,0:35:22,Billed,1,6,0,2,No,12.116666666666667,10.55,0.8166666666666667,0.5833333333333334,7,0,0,9.716666666666669,0.2333333333333333,92.10110584518168,0.0774091627172195,3.116666666666667,6.5,1.5500000000000007,2,Erratic / At-Risk,Rachael Macdonald
21,TDS,Campus-2023,Skills Development,10:47:53,21:44:22,10:56:01,9:34:27,1:21:33,0:28:28,0:53:04,Billed,0,12,0,9,No,10.783333333333331,10.933333333333334,1.35,0.8833333333333333,12,0,0,9.566666666666666,0.4666666666666667,87.5,0.1234756097560975,1.7833333333333332,12,1.9333333333333336,2,Erratic / At-Risk,Connie Cook
92,AL,Campus-2021,J&J Inc,11:47:30,23:05:40,11:18:10,9:31:46,1:46:23,0:18:45,1:27:37,Billed,2,10,1,22,No,11.783333333333331,11.3,1.7666666666666666,1.45,12,0,0,9.516666666666667,0.3,84.21828908554573,0.1563421828908554,2.783333333333333,11,2.3000000000000007,2,Erratic / At-Risk,Katherine Hernandez
217,TDS,Campus-2023,Skills Development,10:21:50,21:04:55,10:41:59,9:28:26,1:13:33,0:25:08,0:48:24,Billed,1,8,3,25,No,10.35,10.683333333333334,1.2166666666666668,0.8,9,0,0,9.466666666666669,0.4166666666666667,88.61154446177846,0.1138845553822153,1.3499999999999996,8.5,1.6833333333333336,2,Erratic / At-Risk,Nicole Daniel
589,AL,Campus-2021,J&J Inc,11:17:37,22:09:15,10:51:00,9:27:50,1:23:10,0:19:17,1:03:53,Billed,7,17,0,22,No,11.283333333333331,10.85,1.3833333333333333,1.05,24,0,0,9.45,0.3166666666666666,87.09677419354838,0.1274961597542242,2.283333333333333,20.5,1.85,2,Erratic / At-Risk,Anthony Stephens
1192,AL,Ragnarok TDS2,J&J Inc,12:43:36,23:51:20,11:08:12,9:24:42,1:43:30,0:34:42,1:08:47,Billed,5,21,0,40,No,12.716666666666669,11.133333333333333,1.7166666666666668,1.1333333333333333,26,0,0,9.4,0.5666666666666667,84.43113772455091,0.1541916167664671,3.716666666666667,23.5,2.133333333333333,2,Erratic / At-Risk,John Dennis
1,TDS,Campus-2023,Microsoft,11:23:37,22:35:03,11:11:33,9:23:59,1:47:34,0:34:56,1:12:38,Billed,1,5,0,1,No,11.383333333333333,11.183333333333334,1.7833333333333332,1.2,6,0,0,9.383333333333333,0.5666666666666667,83.90461997019374,0.1594634873323397,2.383333333333333,5.5,2.1833333333333336,2,Erratic / At-Risk,Cynthia Diaz
4,TDS,Campus-2022,Walmart,11:29:31,22:34:23,11:04:36,9:22:30,1:42:06,0:56:37,0:45:28,Unbilled,0,0,1,11,No,11.483333333333333,11.066666666666666,1.7,0.75,0,1,0,9.366666666666667,0.9333333333333332,84.63855421686748,0.1536144578313253,2.4833333333333325,0,2.0666666666666664,2,Erratic / At-Risk,Eddie Gregory
272,TDS,Campus-2023,Skills Development,10:39:39,21:33:17,10:53:12,9:21:11,1:32:00,0:29:23,1:02:37,Billed,1,19,0,4,No,10.65,10.883333333333333,1.5333333333333332,1.0333333333333334,20,0,0,9.35,0.4833333333333333,85.91117917304747,0.1408882082695252,1.6500000000000004,19.5,1.8833333333333329,2,Erratic / At-Risk,Leslie Davis
16,TDS,Campus-2023,Microsoft,12:28:47,23:00:06,10:30:50,9:20:48,1:10:01,0:21:18,0:48:43,Unbilled,1,9,0,9,Yes,12.466666666666669,10.5,1.1666666666666667,0.8,10,1,1,9.333333333333334,0.35,88.8888888888889,0.1111111111111111,3.466666666666667,9.5,1.5,0,Consistent Performer,Frederick Carrillo
8,TDS,Campus-2023,J&J Inc,10:26:52,21:14:30,10:47:37,9:18:32,1:29:04,0:37:13,0:51:51,Billed,0,8,0,5,No,10.433333333333334,10.783333333333331,1.4833333333333334,0.85,8,0,0,9.3,0.6166666666666667,86.24420401854714,0.1375579598145286,1.4333333333333336,8,1.7833333333333332,2,Erratic / At-Risk,Justin Taylor
15,AL,Campus-2021,Engineering Improvement,10:56:22,22:07:02,11:10:40,9:17:05,1:53:35,0:02:49,1:50:45,Unbilled,4,16,0,2,p,10.933333333333334,11.166666666666666,1.8833333333333333,1.8333333333333333,20,1,0,9.283333333333331,0.0333333333333333,83.13432835820895,0.1686567164179104,1.9333333333333336,18,2.166666666666666,2,Erratic / At-Risk,Anthony Marshall
5,TDS,Campus 2024,Walmart,13:02:58,23:37:38,10:34:03,9:15:54,1:18:09,0:32:55,0:45:14,Unbilled,0,1,0,3,No,13.033333333333331,10.566666666666666,1.3,0.75,1,1,0,9.25,0.5333333333333333,87.53943217665615,0.1230283911671924,4.033333333333333,1,1.5666666666666664,2,Erratic / At-Risk,Judith Smith
134,TDS,Campus-2022,Microsoft,12:53:02,23:18:22,10:24:52,9:12:59,1:11:53,0:39:39,0:32:14,Billed,0,13,0,15,No,12.883333333333333,10.4,1.1833333333333331,0.5333333333333333,13,0,0,9.2,0.65,88.46153846153845,0.1137820512820512,3.883333333333333,13,1.4000000000000004,2,Erratic / At-Risk,Tina Smith
478,TDS,Campus-2023,Skills Development,11:10:36,21:49:50,10:38:12,9:12:20,1:25:52,0:49:54,0:35:58,Billed,0,14,1,16,No,11.166666666666666,10.633333333333333,1.4166666666666667,0.5833333333333334,14,0,0,9.2,0.8166666666666667,86.52037617554859,0.1332288401253918,2.166666666666666,14,1.6333333333333329,2,Erratic / At-Risk,Kristina Mccoy
660,AL,Campus-2021,J&J Inc,12:36:08,23:59:51,11:23:11,9:11:49,2:11:22,0:42:26,1:28:56,Billed,6,15,0,32,No,12.6,11.383333333333333,2.183333333333333,1.4666666666666668,21,0,0,9.183333333333334,0.7,80.67349926793558,0.1918008784773059,3.6,18,2.383333333333333,2,Erratic / At-Risk,Cameron Hudson
44,TDS,Campus 2024,Mars,11:01:43,21:21:04,10:19:05,9:11:29,1:07:36,0:12:51,0:54:45,Unbilled,1,12,0,7,No,11.016666666666667,10.316666666666666,1.1166666666666667,0.9,13,1,0,9.183333333333334,0.2,89.01453957996769,0.1082390953150242,2.0166666666666675,12.5,1.3166666666666664,2,Erratic / At-Risk,Cody Sutton
256,AL,Ragnarok TDS2,Abbvie,11:18:48,21:44:01,10:26:28,9:10:39,1:15:49,0:12:25,1:03:23,Billed,2,19,0,8,No,11.3,10.433333333333334,1.25,1.05,21,0,0,9.166666666666666,0.2,87.8594249201278,0.1198083067092651,2.3000000000000007,20,1.4333333333333336,2,Erratic / At-Risk,Jesse Reyes
805,TDS,Campus-2023,Skills Development,11:00:15,21:37:49,10:37:44,9:09:44,1:28:00,0:46:47,0:41:13,Billed,2,28,2,13,No,11,10.616666666666667,1.4666666666666668,0.6833333333333333,30,0,0,9.15,0.7666666666666667,86.18524332810047,0.1381475667189953,2,29,1.6166666666666671,2,Erratic / At-Risk,Priscilla Luna
564,TDS,Campus-2023,Skills Development,10:58:20,21:30:49,10:32:18,9:08:31,1:23:47,0:24:23,0:59:24,Billed,1,24,0,15,No,10.966666666666669,10.533333333333331,1.3833333333333333,0.9833333333333332,25,0,0,9.133333333333333,0.4,86.70886075949366,0.1313291139240506,1.9666666666666668,24.5,1.5333333333333332,2,Erratic / At-Risk,Mrs. Stephanie Moore
197,TDS,Campus-2023,Skills Development,11:07:00,21:38:53,10:31:51,9:08:23,1:23:28,0:40:41,0:42:47,Unbilled,2,18,0,11,No,11.116666666666667,10.516666666666667,1.3833333333333333,0.7,20,1,0,9.133333333333333,0.6666666666666666,86.84627575277337,0.1315372424722662,2.116666666666667,19,1.5166666666666675,2,Erratic / At-Risk,Crystal Rivas
1417,Con,Agency,L&D,12:03:45,22:03:00,9:58:21,9:08:21,0:50:00,0:12:43,0:37:16,Unbilled,3,133,0,0,Yes,12.05,9.966666666666669,0.8333333333333334,0.6166666666666667,136,1,1,9.133333333333333,0.2,91.63879598662209,0.0836120401337792,3.0500000000000007,134.5,0.9666666666666668,0,Consistent Performer,Julie Mason
171,TDS,Campus-2023,Coles,8:28:58,18:19:23,9:49:39,9:07:15,0:42:24,0:13:43,0:28:40,Unbilled,4,13,0,2,No,8.466666666666667,9.816666666666666,0.7,0.4666666666666667,17,1,0,9.116666666666667,0.2166666666666666,92.86926994906622,0.0713073005093378,0.5333333333333332,15,0.8166666666666664,2,Erratic / At-Risk,Joseph Hall
46,TDS,Campus-2022,Engineering Improvement,11:22:11,21:57:40,10:35:35,9:06:35,1:28:59,0:21:13,1:07:45,Unbilled,2,9,0,6,No,11.366666666666667,10.583333333333334,1.4666666666666668,1.1166666666666667,11,1,0,9.1,0.35,85.98425196850393,0.1385826771653543,2.366666666666667,10,1.583333333333334,2,Erratic / At-Risk,Donna Pitts
24,TDS,Campus-2023,Skills Development,10:52:59,21:21:07,10:28:04,9:05:44,1:22:19,0:42:58,0:39:21,Billed,0,9,0,5,No,10.866666666666667,10.466666666666669,1.3666666666666667,0.65,9,0,0,9.083333333333334,0.7,86.78343949044587,0.1305732484076433,1.8666666666666671,9,1.4666666666666668,2,Erratic / At-Risk,Emma Warner
80,TDS,Campus-2023,Skills Development,11:07:30,21:04:21,9:56:22,9:04:53,0:51:29,0:31:18,0:20:10,Billed,3,8,0,10,No,11.116666666666667,9.933333333333334,0.85,0.3333333333333333,11,0,0,9.066666666666666,0.5166666666666667,91.27516778523488,0.0855704697986577,2.116666666666667,9.5,0.9333333333333336,2,Erratic / At-Risk,Jessica Jones
70,TDS,Campus 2024,Skills Development,11:05:14,21:24:03,10:19:24,9:04:52,1:14:32,0:32:26,0:42:05,Billed,2,9,0,3,No,11.083333333333334,10.316666666666666,1.2333333333333334,0.7,11,0,0,9.066666666666666,0.5333333333333333,87.88368336025847,0.1195476575121163,2.083333333333334,10,1.3166666666666664,2,Erratic / At-Risk,Crystal Cook
40,TDS,Campus-2023,Capri Global,12:49:46,23:30:52,10:41:09,9:04:12,1:36:56,0:16:36,1:20:19,Billed,2,12,0,17,No,12.816666666666666,10.683333333333334,1.6,1.3333333333333333,14,0,0,9.066666666666666,0.2666666666666666,84.86739469578782,0.1497659906396256,3.8166666666666655,13,1.6833333333333336,2,Erratic / At-Risk,Jon Miller
47,TDS,Campus 2024,Southwest,11:19:55,21:48:07,10:28:12,9:03:50,1:24:22,0:37:19,0:47:03,Unbilled,2,8,1,7,No,11.316666666666666,10.466666666666669,1.4,0.7833333333333333,10,1,0,9.05,0.6166666666666667,86.46496815286625,0.1337579617834395,2.3166666666666664,9,1.4666666666666668,2,Erratic / At-Risk,Tracy Freeman
425,TDS,Campus-2022,Walmart,13:26:18,0:11:47,10:45:07,9:02:44,1:42:22,0:24:45,1:17:36,Billed,4,11,0,21,No,13.433333333333334,10.75,1.7,1.2833333333333332,15,0,0,9.033333333333331,0.4,84.03100775193798,0.1581395348837209,4.433333333333334,13,1.75,2,Erratic / At-Risk,Kayla Camacho
77,TDS,Campus-2022,Mars,12:07:04,22:27:21,10:20:10,9:02:00,1:18:10,0:39:22,0:38:47,Billed,1,12,0,11,No,12.116666666666667,10.333333333333334,1.3,0.6333333333333333,13,0,0,9.033333333333331,0.65,87.41935483870968,0.1258064516129032,3.116666666666667,12.5,1.333333333333334,2,Erratic / At-Risk,Heidi Greer
355,TDS,Ragnarok TDS2,Loyalty Pacific,8:42:01,20:31:06,11:48:37,9:00:44,2:47:52,0:53:32,1:54:20,Billed,0,35,0,4,No,8.7,11.8,2.783333333333333,1.9,35,0,0,9,0.8833333333333333,76.27118644067797,0.2358757062146892,0.3000000000000007,35,2.8000000000000007,2,Erratic / At-Risk,Linda Savage
351,AL,Campus-2021,Skills Development,10:56:50,21:32:55,10:35:08,9:00:33,1:34:34,0:23:53,1:10:41,Unbilled,0,17,1,17,No,10.933333333333334,10.583333333333334,1.5666666666666669,1.1666666666666667,17,1,0,9,0.3833333333333333,85.03937007874015,0.1480314960629921,1.9333333333333336,17,1.583333333333334,2,Erratic / At-Risk,Robert Hudson
120,TDS,Campus 2024,Microsoft,12:46:09,23:11:32,10:25:04,8:59:29,1:25:34,0:38:28,0:47:06,Billed,2,17,0,4,No,12.766666666666667,10.416666666666666,1.4166666666666667,0.7833333333333333,19,0,0,8.983333333333333,0.6333333333333333,86.24,0.136,3.766666666666668,18,1.416666666666666,2,Erratic / At-Risk,Jamie Stewart
314,TDS,Campus-2023,T Mobile,12:25:24,22:40:56,10:16:08,8:59:24,1:16:44,0:11:56,1:04:47,Billed,0,14,0,16,No,12.416666666666666,10.266666666666667,1.2666666666666666,1.0666666666666669,14,0,0,8.983333333333333,0.1833333333333333,87.49999999999999,0.1233766233766233,3.416666666666666,14,1.2666666666666675,2,Erratic / At-Risk,Taylor Lopez
689,AL,Lateral,Skills Development,11:17:16,21:50:53,10:33:49,8:58:54,1:34:55,0:07:57,1:26:58,Unbilled,1,12,1,41,No,11.283333333333331,10.55,1.5666666666666669,1.4333333333333331,13,1,0,8.966666666666667,0.1166666666666666,84.99210110584518,0.1484992101105845,2.283333333333333,12.5,1.5500000000000007,2,Erratic / At-Risk,Kenneth Andrews
236,TDS,Campus-2023,T Mobile,12:02:32,22:20:16,10:16:55,8:58:29,1:18:25,0:29:02,0:49:23,Billed,2,19,0,5,No,12.033333333333331,10.266666666666667,1.3,0.8166666666666667,21,0,0,8.966666666666667,0.4833333333333333,87.33766233766234,0.1266233766233766,3.033333333333333,20,1.2666666666666675,2,Erratic / At-Risk,Ebony Smith
814,TDS,Campus-2022,Abbvie,11:47:46,21:54:20,10:07:25,8:54:44,1:12:41,0:20:07,0:52:33,Billed,0,16,1,19,No,11.783333333333331,10.116666666666667,1.2,0.8666666666666667,16,0,0,8.9,0.3333333333333333,87.97364085667215,0.1186161449752882,2.783333333333333,16,1.1166666666666671,2,Erratic / At-Risk,Crystal Collins
64,TDS,Campus 2024,Microsoft,12:41:32,22:28:33,9:48:15,8:54:16,0:53:58,0:28:09,0:25:49,Billed,1,9,0,1,No,12.683333333333334,9.8,0.8833333333333333,0.4166666666666667,10,0,0,8.9,0.4666666666666667,90.81632653061224,0.0901360544217687,3.6833333333333336,9.5,0.8000000000000007,1,Late Starter,Victor Brown
149,TDS,Ragnarok TDS2,J&J Inc,12:06:22,22:59:39,10:53:32,8:54:11,1:59:20,0:30:41,1:28:38,Billed,1,12,0,15,No,12.1,10.883333333333333,1.9833333333333332,1.4666666666666668,13,0,0,8.9,0.5,81.77641653905054,0.1822358346094946,3.1,12.5,1.8833333333333329,2,Erratic / At-Risk,Kristina Pierce
801,TDS,Campus-2023,CHEVRON U.S.A. INC.,12:39:20,21:43:57,9:04:30,8:54:02,0:10:27,0:04:26,0:06:01,Billed,2,12,1,11,No,12.65,9.066666666666666,0.1666666666666666,0.1,14,0,0,8.9,0.0666666666666666,98.16176470588236,0.0183823529411764,3.65,13,0.0666666666666664,1,Late Starter,Ryan Johnson
1394,AL,Campus-2019,RECURSION,13:33:30,23:25:46,9:53:00,8:53:35,0:59:25,0:09:37,0:49:47,Unbilled,11,36,12,60,No,13.55,9.883333333333333,0.9833333333333332,0.8166666666666667,47,1,0,8.883333333333333,0.15,89.88195615514334,0.0994940978077571,4.550000000000001,41.5,0.8833333333333329,1,Late Starter,Danielle Wilson
1423,AL,Campus-2019,Itkan,13:07:30,23:17:30,10:11:22,8:53:25,1:17:56,0:21:40,0:56:16,Unbilled,3,14,138,19,No,13.116666666666667,10.183333333333334,1.2833333333333332,0.9333333333333332,17,1,0,8.883333333333333,0.35,87.23404255319149,0.1260229132569558,4.116666666666667,15.5,1.1833333333333336,1,Late Starter,Jennifer Perkins
317,TDS,Campus-2023,Mars,12:15:13,22:28:41,10:14:04,8:52:47,1:21:16,0:42:28,0:38:47,Billed,3,17,0,10,No,12.25,10.233333333333333,1.35,0.6333333333333333,20,0,0,8.866666666666667,0.7,86.64495114006516,0.1319218241042345,3.25,18.5,1.2333333333333325,2,Erratic / At-Risk,Paul Evans
11,TDS,Campus 2024,Capri Global,12:14:30,22:47:20,10:32:55,8:52:04,1:40:50,0:37:17,1:03:33,Unbilled,1,6,0,4,No,12.233333333333333,10.533333333333331,1.6666666666666663,1.05,7,1,0,8.866666666666667,0.6166666666666667,84.17721518987342,0.1582278481012658,3.2333333333333325,6.5,1.5333333333333332,2,Erratic / At-Risk,Michelle Mcneil
1084,TDS,Campus-2022,Skills Development,11:57:03,22:06:45,10:11:39,8:51:53,1:19:46,0:47:24,0:32:21,Unbilled,4,11,101,14,No,11.95,10.183333333333334,1.3166666666666669,0.5333333333333333,15,1,0,8.85,0.7833333333333333,86.90671031096564,0.1292962356792144,2.9499999999999997,13,1.1833333333333336,2,Erratic / At-Risk,Eric Simmons
1068,AL,Campus-2020,CHEVRON U.S.A. INC.,11:41:55,21:16:13,9:34:10,8:50:51,0:43:18,0:14:44,0:28:33,Billed,3,13,0,24,No,11.683333333333334,9.566666666666666,0.7166666666666667,0.4666666666666667,16,0,0,8.833333333333334,0.2333333333333333,92.33449477351915,0.0749128919860627,2.6833333333333336,14.5,0.5666666666666664,2,Erratic / At-Risk,Wendy Williams
863,TDS,Campus-2022,Coles,8:33:41,17:56:51,9:22:25,8:50:49,0:31:35,0:09:40,0:21:55,Unbilled,0,9,0,13,No,8.55,9.366666666666667,0.5166666666666667,0.35,9,1,0,8.833333333333334,0.15,94.30604982206404,0.0551601423487544,0.4499999999999993,9,0.3666666666666671,2,Erratic / At-Risk,Lauren Bartlett
623,AL,Campus-2017,Mars,13:06:17,22:38:48,9:32:49,8:50:23,0:42:25,0:04:45,0:37:40,Unbilled,0,10,0,7,No,13.1,9.533333333333331,0.7,0.6166666666666667,10,1,0,8.833333333333334,0.0666666666666666,92.65734265734268,0.0734265734265734,4.1,10,0.5333333333333332,1,Late Starter,Kenneth Wilson
36,TDS,Campus-2022,Bristol-Myers Squibb,11:01:32,21:49:55,10:50:11,8:50:17,1:59:53,0:51:08,1:08:45,Billed,0,5,0,14,No,11.016666666666667,10.833333333333334,1.9833333333333332,1.1333333333333333,5,0,0,8.833333333333334,0.85,81.53846153846153,0.183076923076923,2.0166666666666675,5,1.833333333333334,2,Erratic / At-Risk,Patrick Sanchez
1403,TDS,Ragnarok TDS2,CHEVRON U.S.A. INC.,11:39:39,21:37:37,9:58:15,8:50:11,1:08:03,0:21:36,0:46:27,Billed,0,0,0,0,No,11.65,9.966666666666669,1.1333333333333333,0.7666666666666667,0,0,0,8.833333333333334,0.35,88.62876254180603,0.1137123745819397,2.6500000000000004,0,0.9666666666666668,2,Erratic / At-Risk,Phyllis Lewis
42,TDS,Campus 2024,Skills Development,11:10:18,21:36:06,10:25:57,8:49:36,1:36:20,0:38:26,0:57:53,Unbilled,0,12,0,3,No,11.166666666666666,10.416666666666666,1.6,0.95,12,1,0,8.816666666666666,0.6333333333333333,84.64,0.1536,2.166666666666666,12,1.416666666666666,2,Erratic / At-Risk,Natasha Melton
675,TDS,Campus-2022,Coles,8:28:56,17:56:10,9:26:51,8:49:14,0:37:37,0:13:14,0:24:22,Unbilled,0,17,0,3,No,8.466666666666667,9.433333333333334,0.6166666666666667,0.4,17,1,0,8.816666666666666,0.2166666666666666,93.46289752650176,0.0653710247349823,0.5333333333333332,17,0.4333333333333335,2,Erratic / At-Risk,Jillian Brown
38,TDS,Campus-2022,Mars,11:40:00,21:53:02,10:12:35,8:48:51,1:23:43,0:50:40,0:33:03,Billed,0,7,0,4,No,11.666666666666666,10.2,1.3833333333333333,0.55,7,0,0,8.8,0.8333333333333334,86.27450980392159,0.1356209150326797,2.666666666666666,7,1.1999999999999993,2,Erratic / At-Risk,Richard Franklin PhD
595,TDS,Campus-2023,CHEVRON U.S.A. INC.,11:57:55,21:15:31,9:18:08,8:48:50,0:29:17,0:07:30,0:21:47,Billed,0,7,0,13,No,11.95,9.3,0.4833333333333333,0.35,7,0,0,8.8,0.1166666666666666,94.6236559139785,0.0519713261648745,2.9499999999999997,7,0.3000000000000007,1,Late Starter,Tonya Evans
108,TDS,Campus-2023,Capri Global,12:35:45,22:58:52,10:23:02,8:48:14,1:34:48,0:26:55,1:07:53,Unbilled,6,15,0,15,No,12.583333333333334,10.383333333333333,1.5666666666666669,1.1166666666666667,21,1,0,8.8,0.4333333333333333,84.75120385232746,0.1508828250401284,3.583333333333334,18,1.3833333333333329,2,Erratic / At-Risk,David Mejia
1273,AL,Campus-2020,Mars,12:58:29,22:28:29,9:30:08,8:48:10,0:41:58,0:08:32,0:33:25,Unbilled,0,24,0,30,No,12.966666666666669,9.5,0.6833333333333333,0.55,24,1,0,8.8,0.1333333333333333,92.63157894736842,0.0719298245614035,3.966666666666667,24,0.5,1,Late Starter,Dr. Nancy Diaz
559,TDS,Campus-2022,Microsoft,14:23:22,0:52:15,10:30:15,8:48:09,1:42:05,0:43:32,0:58:33,Billed,8,14,20,32,No,14.383333333333333,10.5,1.7,0.9666666666666668,22,0,0,8.8,0.7166666666666667,83.80952380952381,0.1619047619047619,5.383333333333333,18,1.5,1,Late Starter,Keith Matthews
88,TDS,Campus-2022,Coles,9:05:09,18:50:15,9:45:44,8:46:57,0:58:47,0:37:37,0:21:10,Unbilled,0,5,0,3,No,9.083333333333334,9.75,0.9666666666666668,0.35,5,1,0,8.766666666666667,0.6166666666666667,89.91452991452992,0.0991452991452991,0.0833333333333339,5,0.75,2,Erratic / At-Risk,Grace Miller
323,TDS,Campus-2022,J&J Inc,11:49:01,22:02:03,10:13:33,8:46:15,1:27:17,0:26:19,1:00:58,Billed,2,8,0,20,No,11.816666666666666,10.216666666666669,1.45,1,10,0,0,8.766666666666667,0.4333333333333333,85.80750407830344,0.1419249592169657,2.8166666666666664,9,1.2166666666666668,2,Erratic / At-Risk,Amy Morales
79,TDS,Campus 2025,CHEVRON U.S.A. INC.,11:34:26,21:31:40,10:00:17,8:45:24,1:14:53,0:21:50,0:53:02,Unbilled,1,1,0,3,Yes,11.566666666666666,10,1.2333333333333334,0.8833333333333333,2,1,1,8.75,0.35,87.5,0.1233333333333333,2.5666666666666664,1.5,1,0,Consistent Performer,Dawn Ball
19,TDS,Campus 2024,Southwest,11:55:09,22:10:20,10:14:44,8:44:02,1:30:42,0:42:42,0:47:59,Billed,0,7,1,2,No,11.916666666666666,10.233333333333333,1.5,0.7833333333333333,7,0,0,8.733333333333333,0.7,85.34201954397393,0.1465798045602606,2.916666666666666,7,1.2333333333333325,2,Erratic / At-Risk,Erik Howard
724,TDS,Campus-2023,Skills Development,11:11:07,21:09:43,9:59:02,8:43:52,1:15:09,0:39:15,0:35:53,Billed,1,18,0,19,No,11.183333333333334,9.983333333333333,1.25,0.5833333333333334,19,0,0,8.716666666666667,0.65,87.31218697829716,0.1252086811352253,2.1833333333333336,18.5,0.9833333333333324,2,Erratic / At-Risk,Virginia House
